,Year,Season,NOC,Name,Event,Sport,region,notes
2744,1972,Summer,MGL,39,39,"['Judo' 'Wrestling' 'Boxing' 'Athletics' 'Archery' 'Shooting'
 'Weightlifting']",Mongolia,
2745,1972,Winter,MGL,4,6,['Cross Country Skiing' 'Speed Skating'],Mongolia,
2746,1976,Summer,MGL,32,29,['Judo' 'Wrestling' 'Boxing' 'Archery' 'Shooting'],Mongolia,
2747,1980,Summer,MGL,43,41,"['Wrestling' 'Weightlifting' 'Cycling' 'Judo' 'Gymnastics' 'Boxing'
 'Shooting' 'Archery']",Mongolia,
2748,1980,Winter,MGL,3,7,['Speed Skating' 'Cross Country Skiing'],Mongolia,
2749,1984,Winter,MGL,4,3,['Cross Country Skiing'],Mongolia,
2750,1988,Summer,MGL,28,28,['Wrestling' 'Judo' 'Shooting' 'Archery' 'Boxing'],Mongolia,
2751,1988,Winter,MGL,3,6,['Cross Country Skiing'],Mongolia,
2752,1992,Summer,MGL,33,31,"['Judo' 'Boxing' 'Wrestling' 'Shooting' 'Cycling' 'Weightlifting'
 'Archery' 'Athletics']",Mongolia,
2753,1992,Winter,MGL,4,8,['Speed Skating' 'Cross Country Skiing'],Mongolia,
2754,1994,Winter,MGL,1,2,['Short Track Speed Skating'],Mongolia,
2755,1996,Summer,MGL,16,16,['Wrestling' 'Athletics' 'Cycling' 'Judo' 'Shooting' 'Boxing' 'Archery'],Mongolia,
2756,1998,Winter,MGL,3,3,['Short Track Speed Skating' 'Cross Country Skiing'],Mongolia,
2757,2000,Summer,MGL,20,21,['Athletics' 'Judo' 'Wrestling' 'Shooting' 'Swimming' 'Boxing'],Mongolia,
2758,2002,Winter,MGL,4,4,['Short Track Speed Skating' 'Cross Country Skiing'],Mongolia,
2759,2004,Summer,MGL,20,21,"['Swimming' 'Athletics' 'Judo' 'Wrestling' 'Weightlifting' 'Shooting'
 'Boxing']",Mongolia,
2760,2006,Winter,MGL,2,2,['Cross Country Skiing'],Mongolia,
2761,2008,Summer,MGL,28,29,"['Wrestling' 'Athletics' 'Swimming' 'Judo' 'Boxing' 'Weightlifting'
 'Shooting']",Mongolia,
2762,2010,Winter,MGL,2,2,['Cross Country Skiing'],Mongolia,
2763,2012,Summer,MGL,29,32,['Swimming' 'Athletics' 'Wrestling' 'Archery' 'Boxing' 'Judo' 'Shooting'],Mongolia,
2764,2014,Winter,MGL,2,2,['Cross Country Skiing'],Mongolia,
2765,2016,Summer,MGL,43,41,"['Judo' 'Boxing' 'Athletics' 'Swimming' 'Wrestling' 'Shooting' 'Archery'
 'Weightlifting' 'Taekwondo']",Mongolia,
2766,1964,Summer,MLI,2,2,['Athletics'],Mali,
2767,1968,Summer,MLI,2,2,['Boxing' 'Athletics'],Mali,
2768,1972,Summer,MLI,3,3,['Judo' 'Athletics'],Mali,
2769,1980,Summer,MLI,7,7,['Judo' 'Athletics' 'Boxing'],Mali,
2770,1984,Summer,MLI,4,5,['Judo' 'Athletics' 'Boxing'],Mali,
2771,1988,Summer,MLI,6,8,['Judo' 'Athletics' 'Boxing'],Mali,
2772,1992,Summer,MLI,5,6,['Judo' 'Athletics'],Mali,
2773,1996,Summer,MLI,3,4,['Athletics'],Mali,
2774,2000,Summer,MLI,5,5,['Athletics' 'Judo' 'Swimming'],Mali,
2775,2004,Summer,MLI,21,6,['Football' 'Athletics' 'Swimming' 'Judo'],Mali,
2776,2008,Summer,MLI,17,6,['Basketball' 'Athletics' 'Swimming' 'Taekwondo'],Mali,
2777,2012,Summer,MLI,6,6,['Athletics' 'Taekwondo' 'Judo' 'Swimming'],Mali,
2778,2016,Summer,MLI,6,6,['Taekwondo' 'Athletics' 'Swimming' 'Judo'],Mali,
2779,1964,Summer,NIG,1,1,['Boxing'],Niger,
2780,1968,Summer,NIG,2,2,['Boxing'],Niger,
2781,1972,Summer,NIG,4,4,['Boxing'],Niger,
2782,1984,Summer,NIG,4,4,['Athletics' 'Boxing'],Niger,
2783,1988,Summer,NIG,6,4,['Athletics' 'Boxing'],Niger,
2784,1992,Summer,NIG,3,3,['Athletics'],Niger,
2785,1996,Summer,NIG,3,3,['Athletics'],Niger,
2786,2000,Summer,NIG,4,4,['Athletics' 'Swimming'],Niger,
2787,2004,Summer,NIG,4,4,['Judo' 'Athletics' 'Swimming'],Niger,
2788,2008,Summer,NIG,4,4,['Swimming' 'Athletics'],Niger,
2789,2012,Summer,NIG,6,6,['Swimming' 'Athletics' 'Judo' 'Boxing' 'Rowing'],Niger,
2790,2016,Summer,NIG,6,6,['Taekwondo' 'Judo' 'Athletics' 'Swimming'],Niger,
2791,1964,Summer,SEN,12,7,['Athletics'],Senegal,
2792,1968,Summer,SEN,21,9,['Basketball' 'Athletics'],Senegal,
2793,1972,Summer,SEN,38,23,['Athletics' 'Judo' 'Wrestling' 'Basketball' 'Boxing'],Senegal,
2794,1976,Summer,SEN,21,27,['Athletics' 'Wrestling' 'Judo' 'Boxing'],Senegal,
2795,1980,Summer,SEN,32,22,['Judo' 'Basketball' 'Athletics' 'Wrestling'],Senegal,
2796,1984,Summer,SEN,24,21,['Shooting' 'Judo' 'Athletics' 'Wrestling' 'Sailing'],Senegal,
2797,1984,Winter,SEN,1,2,['Alpine Skiing'],Senegal,
2798,1988,Summer,SEN,23,23,['Judo' 'Athletics' 'Swimming' 'Wrestling'],Senegal,
2799,1992,Summer,SEN,20,20,['Judo' 'Athletics' 'Swimming' 'Wrestling'],Senegal,
2800,1992,Winter,SEN,2,5,['Alpine Skiing'],Senegal,
2801,1994,Winter,SEN,1,1,['Alpine Skiing'],Senegal,
2802,1996,Summer,SEN,11,8,['Athletics' 'Wrestling' 'Judo'],Senegal,
2803,2000,Summer,SEN,26,15,['Basketball' 'Judo' 'Athletics' 'Wrestling' 'Boxing' 'Swimming'],Senegal,
2804,2004,Summer,SEN,15,17,['Athletics' 'Swimming' 'Judo' 'Table Tennis' 'Wrestling' 'Fencing'],Senegal,
2805,2006,Winter,SEN,1,3,['Alpine Skiing'],Senegal,
2806,2008,Summer,SEN,15,16,"['Canoeing' 'Athletics' 'Judo' 'Wrestling' 'Taekwondo' 'Swimming'
 'Fencing']",Senegal,
2807,2010,Winter,SEN,1,2,['Alpine Skiing'],Senegal,
2808,2012,Summer,SEN,31,16,"['Football' 'Athletics' 'Fencing' 'Taekwondo' 'Judo' 'Swimming' 'Canoeing'
 'Wrestling']",Senegal,
2809,2016,Summer,SEN,22,11,"['Canoeing' 'Fencing' 'Basketball' 'Wrestling' 'Judo' 'Taekwondo'
 'Athletics' 'Swimming']",Senegal,
2810,1964,Summer,TAN,4,4,['Athletics'],Tanzania,
2811,1968,Summer,TAN,4,5,['Athletics' 'Boxing'],Tanzania,
2812,1972,Summer,TAN,15,16,['Athletics' 'Boxing'],Tanzania,
2813,1980,Summer,TAN,41,22,['Athletics' 'Hockey' 'Boxing'],Tanzania,
2814,1984,Summer,TAN,18,14,['Athletics' 'Boxing'],Tanzania,
2815,1988,Summer,TAN,10,9,['Athletics' 'Boxing'],Tanzania,
2816,1992,Summer,TAN,9,7,['Athletics' 'Boxing'],Tanzania,
2817,1996,Summer,TAN,7,5,['Athletics' 'Boxing'],Tanzania,
2818,2000,Summer,TAN,4,2,['Athletics'],Tanzania,
2819,2004,Summer,TAN,8,6,['Athletics'],Tanzania,
2820,2008,Summer,TAN,9,6,['Athletics' 'Swimming'],Tanzania,
2821,2012,Summer,TAN,6,5,['Swimming' 'Boxing' 'Athletics'],Tanzania,
2822,2016,Summer,TAN,7,5,['Swimming' 'Athletics' 'Judo'],Tanzania,
2823,1964,Summer,ZAM,12,13,['Athletics' 'Swimming' 'Boxing' 'Fencing' 'Wrestling'],Zambia,
2824,1968,Summer,ZAM,7,5,['Athletics' 'Boxing'],Zambia,
2825,1972,Summer,ZAM,11,12,['Athletics' 'Boxing'],Zambia,
2826,1980,Summer,ZAM,37,25,['Football' 'Boxing' 'Judo' 'Athletics'],Zambia,
2827,1984,Summer,ZAM,16,18,['Boxing' 'Judo' 'Athletics'],Zambia,
2828,1988,Summer,ZAM,29,11,['Football' 'Boxing' 'Athletics'],Zambia,
2829,1992,Summer,ZAM,9,11,['Boxing' 'Athletics' 'Judo'],Zambia,
2830,1996,Summer,ZAM,8,8,['Boxing' 'Athletics'],Zambia,
2831,2000,Summer,ZAM,8,8,['Athletics' 'Boxing' 'Swimming'],Zambia,
2832,2004,Summer,ZAM,6,6,['Boxing' 'Swimming' 'Athletics'],Zambia,
2833,2008,Summer,ZAM,8,8,['Boxing' 'Swimming' 'Badminton' 'Athletics'],Zambia,
2834,2012,Summer,ZAM,7,7,['Boxing' 'Athletics' 'Swimming' 'Judo'],Zambia,
2835,2016,Summer,ZAM,7,7,['Athletics' 'Swimming' 'Boxing' 'Judo'],Zambia,
2836,1964,Winter,PRK,13,10,['Speed Skating' 'Cross Country Skiing'],North Korea,
2837,1972,Summer,PRK,37,23,"['Rowing' 'Gymnastics' 'Volleyball' 'Wrestling' 'Archery' 'Athletics'
 'Boxing' 'Shooting' 'Judo' 'Weightlifting']",North Korea,
2838,1972,Winter,PRK,6,4,['Speed Skating'],North Korea,
2839,1976,Summer,PRK,38,21,"['Football' 'Judo' 'Athletics' 'Boxing' 'Weightlifting' 'Archery'
 'Shooting' 'Wrestling']",North Korea,
2840,1980,Summer,PRK,47,40,"['Athletics' 'Gymnastics' 'Weightlifting' 'Boxing' 'Shooting' 'Wrestling'
 'Judo' 'Archery']",North Korea,
2841,1984,Winter,PRK,6,8,['Speed Skating'],North Korea,
2842,1988,Winter,PRK,6,10,['Speed Skating' 'Figure Skating'],North Korea,
2843,1992,Summer,PRK,64,53,"['Gymnastics' 'Boxing' 'Cycling' 'Table Tennis' 'Weightlifting'
 'Rhythmic Gymnastics' 'Shooting' 'Judo' 'Diving' 'Wrestling' 'Archery'
 'Athletics']",North Korea,
2844,1992,Winter,PRK,20,21,"['Cross Country Skiing' 'Speed Skating' 'Alpine Skiing'
 'Short Track Speed Skating' 'Figure Skating']",North Korea,
2845,1996,Summer,PRK,24,25,"['Diving' 'Table Tennis' 'Weightlifting' 'Boxing' 'Athletics' 'Wrestling'
 'Shooting' 'Judo' 'Gymnastics']",North Korea,
2846,1998,Winter,PRK,8,7,['Short Track Speed Skating' 'Speed Skating'],North Korea,
2847,2000,Summer,PRK,31,34,"['Judo' 'Diving' 'Archery' 'Synchronized Swimming' 'Weightlifting'
 'Athletics' 'Wrestling' 'Shooting' 'Boxing' 'Gymnastics']",North Korea,
2848,2004,Summer,PRK,36,34,"['Diving' 'Weightlifting' 'Athletics' 'Gymnastics' 'Judo' 'Table Tennis'
 'Shooting' 'Boxing' 'Wrestling']",North Korea,
2849,2006,Winter,PRK,6,5,['Figure Skating' 'Short Track Speed Skating'],North Korea,
2850,2008,Summer,PRK,58,38,"['Judo' 'Weightlifting' 'Wrestling' 'Gymnastics' 'Diving' 'Football'
 'Table Tennis' 'Athletics' 'Shooting' 'Boxing' 'Synchronized Swimming'
 'Archery']",North Korea,
2851,2010,Winter,PRK,2,3,['Speed Skating' 'Figure Skating'],North Korea,
2852,2012,Summer,PRK,51,27,"['Judo' 'Football' 'Wrestling' 'Synchronized Swimming' 'Table Tennis'
 'Shooting' 'Athletics' 'Weightlifting' 'Boxing' 'Diving' 'Archery']",North Korea,
2853,2016,Summer,PRK,30,28,"['Weightlifting' 'Judo' 'Gymnastics' 'Shooting' 'Wrestling' 'Archery'
 'Athletics' 'Diving' 'Table Tennis']",North Korea,
2854,1968,Summer,BAR,9,10,['Athletics' 'Swimming' 'Cycling' 'Weightlifting' 'Shooting'],Barbados,
2855,1972,Summer,BAR,13,13,['Cycling' 'Athletics' 'Shooting' 'Weightlifting'],Barbados,
2856,1976,Summer,BAR,11,11,['Athletics' 'Cycling'],Barbados,
2857,1984,Summer,BAR,16,16,"['Sailing' 'Athletics' 'Boxing' 'Cycling' 'Synchronized Swimming'
 'Swimming']",Barbados,
2858,1988,Summer,BAR,17,20,['Athletics' 'Sailing' 'Cycling' 'Boxing' 'Diving' 'Judo' 'Swimming'],Barbados,
2859,1992,Summer,BAR,17,17,['Cycling' 'Athletics' 'Sailing' 'Boxing' 'Shooting'],Barbados,
2860,1996,Summer,BAR,13,21,['Athletics' 'Gymnastics' 'Boxing' 'Sailing' 'Swimming' 'Shooting' 'Judo'],Barbados,
2861,2000,Summer,BAR,18,21,['Swimming' 'Athletics' 'Boxing' 'Sailing' 'Shooting' 'Judo'],Barbados,
2862,2004,Summer,BAR,10,15,['Swimming' 'Athletics' 'Cycling' 'Judo' 'Shooting'],Barbados,
2863,2008,Summer,BAR,8,10,['Swimming' 'Athletics' 'Sailing'],Barbados,
2864,2012,Summer,BAR,6,6,['Swimming' 'Athletics' 'Judo'],Barbados,
2865,2016,Summer,BAR,11,11,['Athletics' 'Swimming' 'Tennis' 'Shooting' 'Triathlon'],Barbados,
2866,1968,Summer,BIZ,7,6,['Shooting' 'Cycling' 'Athletics' 'Weightlifting'],Belize,
2867,1972,Summer,BIZ,1,2,['Shooting'],Belize,
2868,1976,Summer,BIZ,4,4,['Shooting' 'Athletics'],Belize,
2869,1984,Summer,BIZ,11,7,['Cycling' 'Boxing' 'Athletics'],Belize,
2870,1988,Summer,BIZ,10,7,['Athletics' 'Cycling'],Belize,
2871,1992,Summer,BIZ,10,10,['Cycling' 'Athletics'],Belize,
2872,1996,Summer,BIZ,5,5,['Athletics' 'Cycling'],Belize,
2873,2000,Summer,BIZ,2,2,['Athletics'],Belize,
2874,2004,Summer,BIZ,2,2,['Athletics'],Belize,
2875,2008,Summer,BIZ,4,4,['Athletics' 'Taekwondo'],Belize,
2876,2012,Summer,BIZ,3,3,['Athletics' 'Judo'],Belize,
2877,2016,Summer,BIZ,3,3,['Judo' 'Athletics'],Belize,
2878,1968,Summer,CAF,1,1,['Athletics'],Central African Republic,
2879,1984,Summer,CAF,3,3,['Athletics' 'Boxing'],Central African Republic,
2880,1988,Summer,CAF,15,4,['Athletics' 'Basketball' 'Boxing'],Central African Republic,
2881,1992,Summer,CAF,15,16,['Athletics' 'Cycling' 'Judo'],Central African Republic,
2882,1996,Summer,CAF,5,5,['Athletics'],Central African Republic,
2883,2000,Summer,CAF,3,3,['Athletics' 'Archery'],Central African Republic,
2884,2004,Summer,CAF,4,4,['Judo' 'Athletics' 'Taekwondo'],Central African Republic,
2885,2008,Summer,CAF,3,3,['Boxing' 'Athletics'],Central African Republic,
2886,2012,Summer,CAF,6,6,['Athletics' 'Taekwondo' 'Swimming' 'Wrestling'],Central African Republic,
2887,2016,Summer,CAF,6,6,['Taekwondo' 'Athletics' 'Boxing' 'Swimming'],Central African Republic,
2888,1968,Summer,COD,5,2,['Cycling'],Democratic Republic of the Congo,
2889,1984,Summer,COD,8,9,['Athletics' 'Boxing'],Democratic Republic of the Congo,
2890,1988,Summer,COD,15,15,['Cycling' 'Athletics' 'Boxing'],Democratic Republic of the Congo,
2891,1992,Summer,COD,17,14,['Cycling' 'Athletics' 'Judo' 'Boxing'],Democratic Republic of the Congo,
2892,1996,Summer,COD,14,2,['Basketball' 'Athletics'],Democratic Republic of the Congo,
2893,2000,Summer,COD,2,3,['Athletics'],Democratic Republic of the Congo,
2894,2004,Summer,COD,4,4,['Table Tennis' 'Athletics'],Democratic Republic of the Congo,
2895,2008,Summer,COD,5,5,['Swimming' 'Judo' 'Athletics' 'Boxing'],Democratic Republic of the Congo,
2896,2012,Summer,COD,4,4,['Judo' 'Boxing' 'Athletics'],Democratic Republic of the Congo,
2897,2016,Summer,COD,4,4,['Athletics' 'Taekwondo' 'Judo'],Democratic Republic of the Congo,
2898,1968,Summer,FRG,275,154,"['Athletics' 'Hockey' 'Fencing' 'Swimming' 'Rowing' 'Cycling' 'Wrestling'
 'Canoeing' 'Shooting' 'Diving' 'Weightlifting' 'Modern Pentathlon'
 'Equestrianism' 'Sailing' 'Gymnastics' 'Water Polo' 'Boxing']",Germany,
2899,1968,Winter,FRG,87,35,"['Luge' 'Ice Hockey' 'Bobsleigh' 'Cross Country Skiing' 'Figure Skating'
 'Speed Skating' 'Alpine Skiing' 'Biathlon' 'Ski Jumping'
 'Nordic Combined']",Germany,
2900,1972,Summer,FRG,424,183,"['Athletics' 'Handball' 'Basketball' 'Swimming' 'Rowing' 'Football'
 'Cycling' 'Judo' 'Canoeing' 'Hockey' 'Fencing' 'Sailing' 'Shooting'
 'Archery' 'Volleyball' 'Wrestling' 'Weightlifting' 'Gymnastics'
 'Modern Pentathlon' 'Equestrianism' 'Water Polo' 'Diving' 'Boxing']",Germany,
2901,1972,Winter,FRG,78,32,"['Ice Hockey' 'Bobsleigh' 'Alpine Skiing' 'Cross Country Skiing' 'Luge'
 'Figure Skating' 'Speed Skating' 'Ski Jumping' 'Nordic Combined'
 'Biathlon']",Germany,
2902,1976,Summer,FRG,290,163,"['Rowing' 'Equestrianism' 'Swimming' 'Fencing' 'Weightlifting' 'Athletics'
 'Handball' 'Shooting' 'Cycling' 'Gymnastics' 'Canoeing' 'Sailing'
 'Hockey' 'Diving' 'Wrestling' 'Modern Pentathlon' 'Water Polo' 'Archery'
 'Boxing' 'Judo']",Germany,
2903,1976,Winter,FRG,71,31,"['Nordic Combined' 'Ice Hockey' 'Alpine Skiing' 'Cross Country Skiing'
 'Bobsleigh' 'Luge' 'Figure Skating' 'Speed Skating' 'Biathlon'
 'Ski Jumping']",Germany,
2904,1980,Winter,FRG,80,34,"['Nordic Combined' 'Biathlon' 'Ice Hockey' 'Alpine Skiing' 'Bobsleigh'
 'Cross Country Skiing' 'Luge' 'Figure Skating' 'Speed Skating'
 'Ski Jumping']",Germany,
2905,1984,Summer,FRG,389,194,"['Rowing' 'Cycling' 'Hockey' 'Football' 'Boxing' 'Fencing' 'Handball'
 'Athletics' 'Gymnastics' 'Swimming' 'Modern Pentathlon' 'Shooting'
 'Basketball' 'Sailing' 'Volleyball' 'Archery' 'Diving' 'Canoeing'
 'Equestrianism' 'Water Polo' 'Wrestling' 'Synchronized Swimming'
 'Weightlifting' 'Judo' 'Rhythmic Gymnastics']",Germany,
2906,1984,Winter,FRG,84,37,"['Ice Hockey' 'Biathlon' 'Figure Skating' 'Speed Skating' 'Ski Jumping'
 'Alpine Skiing' 'Cross Country Skiing' 'Bobsleigh' 'Luge'
 'Nordic Combined']",Germany,
2907,1988,Summer,FRG,347,194,"['Athletics' 'Sailing' 'Rowing' 'Gymnastics' 'Swimming' 'Hockey' 'Archery'
 'Fencing' 'Equestrianism' 'Judo' 'Wrestling' 'Table Tennis' 'Football'
 'Water Polo' 'Boxing' 'Shooting' 'Cycling' 'Canoeing'
 'Synchronized Swimming' 'Weightlifting' 'Tennis' 'Diving'
 'Modern Pentathlon' 'Rhythmic Gymnastics']",Germany,
2908,1988,Winter,FRG,90,44,"['Biathlon' 'Speed Skating' 'Ski Jumping' 'Figure Skating' 'Alpine Skiing'
 'Cross Country Skiing' 'Luge' 'Ice Hockey' 'Bobsleigh' 'Nordic Combined']",Germany,
2909,1968,Summer,GDR,225,124,"['Cycling' 'Boxing' 'Weightlifting' 'Shooting' 'Wrestling' 'Hockey'
 'Rowing' 'Water Polo' 'Athletics' 'Gymnastics' 'Sailing' 'Equestrianism'
 'Fencing' 'Canoeing' 'Diving' 'Volleyball' 'Swimming' 'Modern Pentathlon']",Germany,
2910,1968,Winter,GDR,57,25,"['Luge' 'Ice Hockey' 'Speed Skating' 'Figure Skating'
 'Cross Country Skiing' 'Biathlon' 'Ski Jumping' 'Nordic Combined'
 'Alpine Skiing']",Germany,
2911,1972,Summer,GDR,297,161,"['Gymnastics' 'Athletics' 'Wrestling' 'Canoeing' 'Swimming' 'Boxing'
 'Diving' 'Equestrianism' 'Handball' 'Rowing' 'Weightlifting' 'Sailing'
 'Football' 'Shooting' 'Fencing' 'Cycling' 'Volleyball' 'Judo']",Germany,
2912,1972,Winter,GDR,42,22,"['Ski Jumping' 'Biathlon' 'Luge' 'Speed Skating' 'Nordic Combined'
 'Figure Skating' 'Cross Country Skiing']",Germany,
2913,1976,Summer,GDR,267,139,"['Athletics' 'Rowing' 'Wrestling' 'Weightlifting' 'Swimming' 'Boxing'
 'Handball' 'Volleyball' 'Diving' 'Sailing' 'Canoeing' 'Football'
 'Gymnastics' 'Cycling' 'Shooting' 'Fencing' 'Judo']",Germany,
2914,1976,Winter,GDR,59,28,"['Ski Jumping' 'Bobsleigh' 'Speed Skating' 'Biathlon'
 'Cross Country Skiing' 'Nordic Combined' 'Figure Skating' 'Luge']",Germany,
2915,1980,Summer,GDR,346,167,"['Weightlifting' 'Judo' 'Athletics' 'Football' 'Cycling' 'Boxing'
 'Fencing' 'Sailing' 'Handball' 'Canoeing' 'Rowing' 'Gymnastics'
 'Volleyball' 'Wrestling' 'Swimming' 'Shooting' 'Diving']",Germany,
2916,1980,Winter,GDR,53,29,"['Speed Skating' 'Cross Country Skiing' 'Figure Skating' 'Luge'
 'Ski Jumping' 'Nordic Combined' 'Bobsleigh' 'Biathlon']",Germany,
2917,1984,Winter,GDR,56,31,"['Cross Country Skiing' 'Figure Skating' 'Luge' 'Ski Jumping'
 'Speed Skating' 'Nordic Combined' 'Bobsleigh' 'Biathlon']",Germany,
2918,1988,Summer,GDR,259,157,"['Diving' 'Cycling' 'Wrestling' 'Volleyball' 'Athletics' 'Rowing'
 'Swimming' 'Canoeing' 'Gymnastics' 'Handball' 'Judo' 'Boxing' 'Sailing'
 'Shooting' 'Fencing' 'Weightlifting']",Germany,
2919,1988,Winter,GDR,53,32,"['Speed Skating' 'Biathlon' 'Cross Country Skiing' 'Luge' 'Bobsleigh'
 'Nordic Combined' 'Figure Skating' 'Ski Jumping']",Germany,
2920,1968,Summer,GUI,15,1,['Football'],Guinea,
2921,1980,Summer,GUI,9,10,['Boxing' 'Judo' 'Athletics'],Guinea,
2922,1984,Summer,GUI,1,1,['Judo'],Guinea,
2923,1988,Summer,GUI,6,7,['Athletics' 'Wrestling' 'Boxing'],Guinea,
2924,1992,Summer,GUI,8,11,['Judo' 'Athletics'],Guinea,
2925,1996,Summer,GUI,5,5,['Boxing' 'Athletics'],Guinea,
2926,2000,Summer,GUI,6,6,['Judo' 'Swimming' 'Athletics' 'Boxing'],Guinea,
2927,2004,Summer,GUI,3,4,['Swimming' 'Athletics' 'Judo'],Guinea,
2928,2008,Summer,GUI,5,5,['Swimming' 'Taekwondo' 'Athletics'],Guinea,
2929,2012,Summer,GUI,4,4,['Athletics' 'Swimming' 'Judo'],Guinea,
2930,2016,Summer,GUI,5,5,['Judo' 'Swimming' 'Athletics'],Guinea,
2931,1968,Summer,HON,6,4,['Athletics'],Honduras,
2932,1976,Summer,HON,3,2,['Athletics'],Honduras,
2933,1984,Summer,HON,10,20,['Athletics' 'Swimming' 'Judo'],Honduras,
2934,1988,Summer,HON,8,15,['Boxing' 'Swimming' 'Athletics'],Honduras,
2935,1992,Summer,HON,10,25,['Athletics' 'Swimming' 'Weightlifting' 'Fencing'],Honduras,
2936,1992,Winter,HON,1,3,['Cross Country Skiing'],Honduras,
2937,1996,Summer,HON,7,7,['Boxing' 'Judo' 'Athletics' 'Swimming'],Honduras,
2938,2000,Summer,HON,20,4,['Swimming' 'Football' 'Athletics'],Honduras,
2939,2004,Summer,HON,5,5,['Swimming' 'Athletics' 'Table Tennis' 'Judo'],Honduras,
2940,2008,Summer,HON,25,8,['Football' 'Athletics' 'Rowing' 'Swimming' 'Taekwondo'],Honduras,
2941,2012,Summer,HON,25,10,"['Football' 'Athletics' 'Wrestling' 'Shooting' 'Judo' 'Swimming' 'Boxing'
 'Weightlifting']",Honduras,
2942,2016,Summer,HON,23,8,"['Football' 'Taekwondo' 'Swimming' 'Boxing' 'Athletics' 'Weightlifting'
 'Judo']",Honduras,
2943,1968,Summer,ISV,6,5,['Athletics' 'Sailing' 'Weightlifting'],"Virgin Islands, US",Virgin Islands
2944,1972,Summer,ISV,16,9,['Shooting' 'Athletics' 'Sailing' 'Boxing'],"Virgin Islands, US",Virgin Islands
2945,1976,Summer,ISV,21,21,['Sailing' 'Swimming' 'Wrestling' 'Shooting' 'Boxing' 'Athletics'],"Virgin Islands, US",Virgin Islands
2946,1984,Summer,ISV,29,31,"['Shooting' 'Sailing' 'Boxing' 'Swimming' 'Fencing' 'Athletics'
 'Equestrianism']","Virgin Islands, US",Virgin Islands
2947,1988,Summer,ISV,22,27,['Sailing' 'Equestrianism' 'Swimming' 'Athletics' 'Cycling' 'Shooting'],"Virgin Islands, US",Virgin Islands
2948,1988,Winter,ISV,6,4,['Luge' 'Bobsleigh' 'Alpine Skiing'],"Virgin Islands, US",Virgin Islands
2949,1992,Summer,ISV,25,29,"['Swimming' 'Sailing' 'Boxing' 'Athletics' 'Cycling' 'Equestrianism'
 'Shooting']","Virgin Islands, US",Virgin Islands
2950,1992,Winter,ISV,12,9,['Luge' 'Bobsleigh' 'Alpine Skiing'],"Virgin Islands, US",Virgin Islands
2951,1994,Winter,ISV,8,4,['Luge' 'Bobsleigh'],"Virgin Islands, US",Virgin Islands
2952,1996,Summer,ISV,12,11,['Athletics' 'Boxing' 'Shooting' 'Sailing' 'Swimming'],"Virgin Islands, US",Virgin Islands
2953,1998,Winter,ISV,7,3,['Luge' 'Bobsleigh'],"Virgin Islands, US",Virgin Islands
2954,2000,Summer,ISV,9,12,['Sailing' 'Athletics' 'Swimming' 'Equestrianism' 'Shooting'],"Virgin Islands, US",Virgin Islands
2955,2002,Winter,ISV,8,3,['Luge' 'Bobsleigh'],"Virgin Islands, US",Virgin Islands
2956,2004,Summer,ISV,6,9,['Athletics' 'Swimming' 'Sailing' 'Shooting'],"Virgin Islands, US",Virgin Islands
2957,2008,Summer,ISV,7,8,['Sailing' 'Shooting' 'Athletics' 'Boxing' 'Swimming'],"Virgin Islands, US",Virgin Islands
2958,2012,Summer,ISV,7,7,['Athletics' 'Sailing' 'Swimming'],"Virgin Islands, US",Virgin Islands
2959,2014,Winter,ISV,1,2,['Alpine Skiing'],"Virgin Islands, US",Virgin Islands
2960,2016,Summer,ISV,7,7,['Boxing' 'Athletics' 'Sailing' 'Swimming'],"Virgin Islands, US",Virgin Islands
2961,1968,Summer,KUW,2,1,['Athletics'],Kuwait,
2962,1972,Summer,KUW,4,4,['Athletics' 'Swimming'],Kuwait,
2963,1976,Summer,KUW,15,13,['Athletics' 'Fencing' 'Judo' 'Diving'],Kuwait,
2964,1980,Summer,KUW,56,26,['Athletics' 'Swimming' 'Fencing' 'Handball' 'Football' 'Judo' 'Diving'],Kuwait,
2965,1984,Summer,KUW,23,17,['Diving' 'Fencing' 'Swimming' 'Athletics' 'Judo'],Kuwait,
2966,1988,Summer,KUW,25,24,['Athletics' 'Fencing' 'Boxing' 'Judo' 'Rowing' 'Swimming' 'Diving'],Kuwait,
2967,1992,Summer,KUW,32,18,"['Football' 'Athletics' 'Swimming' 'Shooting' 'Fencing' 'Judo'
 'Weightlifting']",Kuwait,
2968,1996,Summer,KUW,25,16,"['Handball' 'Shooting' 'Table Tennis' 'Diving' 'Swimming' 'Judo' 'Fencing'
 'Athletics' 'Weightlifting']",Kuwait,
2969,2000,Summer,KUW,29,10,['Football' 'Athletics' 'Shooting' 'Swimming' 'Fencing' 'Taekwondo'],Kuwait,
2970,2004,Summer,KUW,11,9,['Athletics' 'Shooting' 'Judo'],Kuwait,
2971,2008,Summer,KUW,8,7,['Athletics' 'Judo' 'Table Tennis' 'Shooting' 'Swimming'],Kuwait,
2972,2012,Summer,KUW,10,11,['Swimming' 'Athletics' 'Shooting' 'Table Tennis'],Kuwait,
2973,1968,Summer,LBA,1,1,['Athletics'],Libya,
2974,1980,Summer,LBA,29,20,['Cycling' 'Athletics' 'Volleyball' 'Swimming' 'Weightlifting'],Libya,
